,location,bhk,total_sqft,bath,price
178,7th Phase JP Nagar,3,1765.0,3.0,118.0
179,7th Phase JP Nagar,3,1275.0,2.0,88.0
180,7th Phase JP Nagar,3,1450.0,2.0,102.0
181,7th Phase JP Nagar,3,1575.0,2.0,110.0
183,7th Phase JP Nagar,1,750.0,1.0,47.0
184,7th Phase JP Nagar,2,990.0,2.0,50.0
185,7th Phase JP Nagar,1,1000.0,1.0,60.0
187,7th Phase JP Nagar,3,1430.0,2.0,102.0
188,7th Phase JP Nagar,2,1128.0,2.0,60.0
189,7th Phase JP Nagar,2,1140.0,2.0,57.0
190,7th Phase JP Nagar,3,1420.0,3.0,90.0
191,7th Phase JP Nagar,2,1530.0,2.0,108.0
192,8th Phase JP Nagar,2,1073.5,2.0,54.005
193,8th Phase JP Nagar,1,451.0,1.0,29.9
195,8th Phase JP Nagar,2,1062.0,2.0,42.47
197,8th Phase JP Nagar,3,1455.0,3.0,73.31
198,8th Phase JP Nagar,2,871.0,2.0,55.0
199,8th Phase JP Nagar,2,1098.0,2.0,43.91
200,8th Phase JP Nagar,3,1800.0,3.0,80.0
201,8th Phase JP Nagar,4,2700.0,4.0,130.0
202,8th Phase JP Nagar,2,1080.0,2.0,38.0
203,8th Phase JP Nagar,2,1059.0,2.0,34.5
204,8th Phase JP Nagar,2,1080.0,2.0,35.0
206,8th Phase JP Nagar,2,1062.0,2.0,42.47
207,8th Phase JP Nagar,1,500.0,1.0,31.0
208,8th Phase JP Nagar,2,1100.0,2.0,35.0
209,8th Phase JP Nagar,4,2100.0,4.0,92.0
210,8th Phase JP Nagar,2,1035.0,2.0,39.33
211,8th Phase JP Nagar,2,909.0,2.0,40.9
212,8th Phase JP Nagar,3,1431.5,3.0,72.02
213,8th Phase JP Nagar,3,1900.0,4.0,90.0
214,8th Phase JP Nagar,1,500.0,1.0,30.0
215,8th Phase JP Nagar,2,1125.0,2.0,36.94
216,8th Phase JP Nagar,2,1100.0,2.0,35.0
217,8th Phase JP Nagar,2,1089.0,2.0,43.55
219,8th Phase JP Nagar,3,1504.0,2.0,83.0
220,8th Phase JP Nagar,4,2600.0,4.0,115.0
222,8th Phase JP Nagar,2,1089.0,2.0,43.55
224,8th Phase JP Nagar,2,1513.0,2.0,62.0
225,8th Phase JP Nagar,2,1298.0,2.0,59.0
226,8th Phase JP Nagar,2,1006.0,2.0,44.0
227,8th Phase JP Nagar,1,500.0,1.0,33.0
228,8th Phase JP Nagar,2,1160.0,2.0,95.0
229,8th Phase JP Nagar,2,1245.0,2.0,59.0
230,8th Phase JP Nagar,2,1510.0,2.0,80.0
231,8th Phase JP Nagar,3,3300.0,3.0,165.0
232,8th Phase JP Nagar,5,1730.0,5.0,75.0
235,8th Phase JP Nagar,2,1046.0,2.0,48.0
237,8th Phase JP Nagar,3,1408.0,3.0,80.0
239,9th Phase JP Nagar,2,1005.0,2.0,50.0
241,9th Phase JP Nagar,2,1100.0,2.0,65.0
242,9th Phase JP Nagar,2,1080.0,2.0,37.0
243,9th Phase JP Nagar,2,1035.0,2.0,45.0
244,9th Phase JP Nagar,4,5000.0,4.0,290.0
245,9th Phase JP Nagar,2,1164.0,2.0,56.0
246,9th Phase JP Nagar,2,1005.0,2.0,42.0
247,9th Phase JP Nagar,2,1127.0,2.0,50.0
248,9th Phase JP Nagar,2,1005.0,2.0,43.0
249,9th Phase JP Nagar,2,835.0,2.0,37.0
250,9th Phase JP Nagar,2,1050.0,2.0,39.0
251,9th Phase JP Nagar,2,660.0,2.0,27.0
252,9th Phase JP Nagar,1,600.0,1.0,20.0
253,9th Phase JP Nagar,2,1466.0,2.0,71.0
254,9th Phase JP Nagar,3,1890.0,2.0,93.0
255,9th Phase JP Nagar,2,1079.0,2.0,60.0
256,9th Phase JP Nagar,2,1480.0,2.0,80.0
257,9th Phase JP Nagar,2,1200.0,2.0,80.0
258,9th Phase JP Nagar,2,905.0,2.0,32.0
259,9th Phase JP Nagar,2,1073.0,2.0,52.36
260,9th Phase JP Nagar,3,1719.3,2.0,88.0
261,9th Phase JP Nagar,3,1780.0,3.0,88.0
263,9th Phase JP Nagar,3,1522.0,3.0,90.0
266,9th Phase JP Nagar,2,890.0,2.0,45.0
268,9th Phase JP Nagar,4,5000.0,4.0,300.0
270,9th Phase JP Nagar,2,1050.0,2.0,35.0
271,9th Phase JP Nagar,2,1331.95,2.0,69.0
272,AECS Layout,2,1100.0,2.0,45.0
273,AECS Layout,2,1028.0,2.0,42.0
274,AECS Layout,2,1199.0,2.0,65.0
275,AECS Layout,2,1080.0,2.0,55.0
276,AECS Layout,2,1123.0,2.0,64.0
277,AECS Layout,2,1308.0,2.0,60.0
278,AECS Layout,2,1005.0,2.0,55.0
280,Abbigere,2,985.0,2.0,40.39
281,Abbigere,6,2200.0,6.0,68.0
282,Abbigere,1,765.0,2.0,30.0
283,Abbigere,2,880.0,2.0,35.0
284,Abbigere,2,795.0,2.0,32.54
285,Abbigere,2,1005.0,2.0,39.59
286,Abbigere,1,734.0,1.0,19.82
288,Abbigere,2,1020.0,2.0,41.82
289,Abbigere,2,985.0,2.0,40.39
290,Abbigere,6,2500.0,6.0,81.0
291,Abbigere,2,795.0,2.0,32.54
292,Abbigere,2,1130.0,2.0,46.33
293,Abbigere,2,795.0,1.0,32.6
294,Abbigere,8,3000.0,8.0,150.0
295,Abbigere,2,985.0,2.0,38.92
296,Abbigere,2,1000.0,2.0,41.0
297,Abbigere,2,995.0,2.0,40.8
298,Abbigere,2,1020.0,2.0,40.8
299,Akshaya Nagar,2,1388.0,2.0,57.0
300,Akshaya Nagar,2,1070.0,2.0,54.0
301,Akshaya Nagar,2,1280.0,2.0,58.0
302,Akshaya Nagar,3,1662.0,3.0,85.1
303,Akshaya Nagar,3,1897.0,3.0,120.0
304,Akshaya Nagar,3,1410.0,2.0,75.0
305,Akshaya Nagar,3,1360.0,2.0,85.0
307,Akshaya Nagar,3,1410.0,2.0,80.0
308,Akshaya Nagar,3,1662.0,3.0,85.0
309,Akshaya Nagar,3,1662.0,3.0,85.5
310,Akshaya Nagar,2,1280.0,2.0,60.0
311,Akshaya Nagar,3,1666.0,3.0,95.0
312,Akshaya Nagar,3,1575.0,3.0,90.0
313,Akshaya Nagar,3,1430.0,2.0,75.0
314,Akshaya Nagar,3,1419.0,2.0,73.0
315,Akshaya Nagar,2,1280.0,2.0,60.0
316,Akshaya Nagar,2,1200.0,2.0,50.0
317,Akshaya Nagar,2,1092.0,2.0,60.0
318,Akshaya Nagar,3,1690.0,3.0,85.0
320,Akshaya Nagar,3,1897.0,4.0,93.0
321,Akshaya Nagar,3,1884.0,3.0,98.0
322,Akshaya Nagar,2,1314.0,2.0,68.8
323,Akshaya Nagar,3,1690.0,3.0,85.0
324,Akshaya Nagar,2,1265.0,2.0,67.0
325,Akshaya Nagar,2,1126.0,2.0,55.0
327,Akshaya Nagar,3,1662.0,3.0,90.0
328,Akshaya Nagar,3,1420.0,2.0,75.0
329,Akshaya Nagar,3,1412.0,2.0,88.0
330,Akshaya Nagar,3,1434.0,3.0,84.0
331,Akshaya Nagar,3,1890.0,4.0,100.0
333,Akshaya Nagar,3,1419.0,2.0,87.0
334,Akshaya Nagar,2,1300.0,2.0,54.0
335,Akshaya Nagar,3,1690.0,3.0,85.0
336,Akshaya Nagar,2,1113.0,2.0,52.0
337,Akshaya Nagar,3,1820.0,4.0,95.0
338,Akshaya Nagar,2,1100.0,2.0,48.0
339,Akshaya Nagar,3,1896.0,3.0,102.0
340,Akshaya Nagar,2,1300.0,2.0,66.0
341,Akshaya Nagar,2,1225.0,2.0,68.0
342,Akshaya Nagar,2,1179.0,2.0,51.0
343,Akshaya Nagar,3,1421.0,2.0,73.0
344,Akshaya Nagar,3,1893.0,4.0,95.0
345,Akshaya Nagar,2,900.0,2.0,45.0
346,Ambalipura,2,1105.0,2.0,75.0
347,Ambalipura,3,1800.0,3.0,110.0
348,Ambalipura,2,1150.0,2.0,80.0
349,Ambalipura,2,1250.0,2.0,66.25
350,Ambalipura,2,1332.0,2.0,79.0
351,Ambalipura,3,1730.0,3.0,120.0
353,Ambalipura,2,1230.0,2.0,66.25
354,Ambalipura,2,1351.0,2.0,77.0
358,Ambalipura,2,1303.0,2.0,80.0
359,Ambalipura,3,1607.0,2.0,112.0
360,Ambalipura,1,770.0,1.0,43.82
361,Ambalipura,2,1700.0,2.0,76.0
362,Ambalipura,2,1060.0,2.0,58.5
363,Ambalipura,3,1650.0,3.0,100.0
364,Ambalipura,3,1607.0,2.0,112.0
365,Ambalipura,2,1198.0,2.0,80.0
366,Ambedkar Nagar,3,1935.0,4.0,130.0
367,Ambedkar Nagar,2,1424.0,2.0,90.0
368,Ambedkar Nagar,3,2225.0,4.0,169.0
369,Ambedkar Nagar,3,1862.0,3.0,120.0
370,Ambedkar Nagar,3,1850.0,4.0,139.0
371,Ambedkar Nagar,3,1936.0,4.0,126.0
372,Ambedkar Nagar,3,1862.0,3.0,119.0
373,Ambedkar Nagar,2,1424.0,2.0,90.0
374,Ambedkar Nagar,3,2150.0,4.0,125.0
375,Ambedkar Nagar,4,3530.0,4.0,290.0
376,Ambedkar Nagar,3,1856.0,3.0,120.0
377,Ambedkar Nagar,3,1852.0,3.0,130.0
378,Ambedkar Nagar,3,1850.0,4.0,120.0
379,Ambedkar Nagar,2,1367.0,2.0,86.0
380,Ambedkar Nagar,4,3565.0,4.0,255.0
381,Ambedkar Nagar,2,1409.0,2.0,95.0
382,Ambedkar Nagar,3,1950.0,4.0,120.0
383,Ambedkar Nagar,3,1921.0,4.0,129.0
384,Ambedkar Nagar,3,1920.0,4.0,121.0
385,Ambedkar Nagar,3,1935.0,4.0,125.0
386,Ambedkar Nagar,3,1852.0,4.0,122.0
387,Ambedkar Nagar,3,1950.0,4.0,120.0
388,Ambedkar Nagar,3,1852.0,3.0,125.0
389,Ambedkar Nagar,3,1850.0,4.0,121.0
390,Ambedkar Nagar,2,1425.0,2.0,94.0
391,Ambedkar Nagar,3,2395.0,4.0,150.0
392,Amruthahalli,2,900.0,2.0,40.0
393,Amruthahalli,2,1200.0,2.0,55.0
394,Amruthahalli,3,1900.0,3.0,135.0
395,Amruthahalli,2,924.0,2.0,45.0
396,Amruthahalli,2,900.0,2.0,60.0
397,Amruthahalli,2,1100.0,2.0,45.0
398,Amruthahalli,2,1200.0,2.0,55.0
402,Amruthahalli,3,1450.0,2.0,85.0
403,Amruthahalli,2,1200.0,2.0,55.0
404,Amruthahalli,2,1250.0,2.0,79.0
405,Amruthahalli,2,1190.0,2.0,50.0
406,Amruthahalli,2,1202.0,2.0,65.0
407,Amruthahalli,2,1340.0,2.0,75.0
408,Amruthahalli,3,2650.0,4.0,175.0
409,Amruthahalli,3,1450.0,2.0,90.0
410,Amruthahalli,2,1025.0,2.0,42.0
411,Amruthahalli,1,485.0,1.0,19.5
412,Anandapura,2,1167.0,2.0,43.76
413,Anandapura,2,1000.0,2.0,55.0
414,Anandapura,2,1141.0,2.0,42.79
416,Anandapura,2,1200.0,2.0,67.0
417,Anandapura,2,1200.0,2.0,58.0
418,Anandapura,2,1151.0,2.0,43.1
419,Anandapura,2,1141.0,2.0,42.75
420,Anandapura,2,900.0,2.0,48.0
421,Anandapura,4,1749.0,4.0,90.0
422,Anandapura,2,1151.0,2.0,42.9
424,Anandapura,2,1250.0,2.0,45.0
425,Anandapura,2,1151.0,2.0,43.16
426,Anandapura,2,1200.0,2.0,58.0
427,Anandapura,3,1200.0,2.0,66.0
428,Anandapura,3,1415.0,2.0,74.0
429,Anandapura,2,1200.0,2.0,50.0
430,Anandapura,2,1141.0,2.0,50.0
432,Ananth Nagar,1,500.0,1.0,14.0
433,Ananth Nagar,2,1100.0,2.0,31.5
434,Ananth Nagar,2,982.0,2.0,24.55
435,Ananth Nagar,1,500.0,2.0,14.0
436,Ananth Nagar,2,900.0,2.0,22.5
437,Ananth Nagar,2,908.0,2.0,26.0
438,Ananth Nagar,2,870.0,2.0,36.0
439,Ananth Nagar,2,937.0,2.0,35.0
440,Ananth Nagar,2,960.0,2.0,37.0
441,Ananth Nagar,1,500.0,1.0,14.0
442,Ananth Nagar,2,1000.0,2.0,29.7
443,Ananth Nagar,2,850.0,2.0,25.99
444,Ananth Nagar,2,902.0,2.0,25.26
445,Ananth Nagar,3,1470.0,3.0,54.0
446,Ananth Nagar,2,810.0,2.0,25.5
447,Ananth Nagar,2,890.0,2.0,27.0
448,Ananth Nagar,2,1200.0,2.0,36.0
450,Ananth Nagar,3,1319.0,3.0,42.0
451,Ananth Nagar,2,1000.0,2.0,25.0
452,Ananth Nagar,2,902.0,2.0,25.0
453,Ananth Nagar,2,930.0,2.0,25.99
454,Ananth Nagar,2,1074.0,2.0,26.85
455,Ananth Nagar,1,500.0,1.0,14.0
456,Ananth Nagar,2,1010.0,2.0,38.0
457,Ananth Nagar,2,992.0,2.0,24.8
459,Anekal,2,656.0,2.0,22.0
460,Anekal,2,620.0,2.0,22.0
461,Anekal,1,600.0,1.0,16.5
462,Anekal,2,925.0,2.0,40.0
463,Anekal,1,530.0,1.0,18.0
464,Anekal,3,1800.0,3.0,68.0
466,Anekal,1,351.0,1.0,16.0
467,Anekal,2,1035.0,2.0,38.3
468,Anekal,2,888.0,2.0,34.0
472,Anekal,4,1200.0,2.0,36.0
473,Anekal,2,766.0,2.0,28.0
474,Anekal,3,967.0,2.0,45.0
475,Anekal,2,620.0,1.0,23.5
476,Anekal,3,1150.0,3.0,45.0
479,Anekal,1,400.0,1.0,11.5
480,Anekal,1,456.0,1.0,15.0
483,Anekal,3,2400.0,4.0,95.0
487,Anekal,1,420.0,1.0,12.5
488,Anekal,2,614.0,1.0,28.0
489,Anekal,2,1140.0,2.0,52.0
490,Anekal,2,625.0,1.0,25.0
491,Anjanapura,4,1850.0,4.0,86.0
492,Anjanapura,2,1070.0,2.0,39.0
493,Anjanapura,3,1500.0,3.0,121.0
494,Anjanapura,2,1070.0,2.0,37.0
495,Anjanapura,2,950.0,2.0,40.0
496,Anjanapura,3,1280.0,2.0,45.0
497,Anjanapura,2,710.0,2.0,25.0
499,Anjanapura,2,950.0,2.0,32.0
500,Anjanapura,4,1800.0,4.0,55.0
501,Anjanapura,3,1843.0,3.0,87.54
502,Anjanapura,2,1076.0,2.0,30.13
503,Anjanapura,2,950.0,2.0,30.0
504,Ardendale,3,1750.0,3.0,100.0
505,Ardendale,4,3198.0,4.0,200.0
506,Ardendale,4,2422.0,4.0,160.0
507,Ardendale,3,1750.0,3.0,100.0
508,Ardendale,4,3200.0,4.0,205.0
509,Ardendale,3,1728.0,3.0,95.0
510,Ardendale,4,2062.0,3.0,140.0
511,Ardendale,3,1732.46,3.0,92.0
512,Ardendale,4,2062.0,3.0,150.0
514,Ardendale,2,1224.0,2.0,70.0
515,Ardendale,3,1777.26,3.0,105.0
516,Ardendale,3,1650.0,3.0,82.0
517,Ardendale,4,2062.0,3.0,140.0
518,Ardendale,3,1650.0,3.0,82.0
519,Ardendale,2,1224.0,2.0,67.0
520,Ardendale,3,1723.0,3.0,95.0
521,Ardendale,3,1777.26,3.0,89.0
522,Ardendale,3,1777.26,3.0,92.0
523,Arekere,3,2060.0,3.0,140.0
524,Arekere,2,920.0,2.0,40.0
525,Arekere,3,1740.0,2.0,95.0
526,Arekere,2,1190.0,2.0,55.0
527,Arekere,1,600.0,1.0,28.0
528,Arekere,3,2072.0,3.0,108.0
529,Arekere,2,1100.0,2.0,55.0
530,Arekere,2,900.0,2.0,50.0
531,Arekere,4,2710.0,6.0,142.0
532,Arekere,2,1240.0,2.0,60.0
533,Arekere,2,900.0,2.0,44.5
534,Attibele,1,450.0,1.0,11.0
535,Attibele,4,1600.0,4.0,52.8
536,Attibele,2,656.0,2.0,25.0
537,Attibele,1,400.0,1.0,11.0
538,Attibele,1,400.0,1.0,12.0
539,Attibele,1,400.0,1.0,14.0
540,Attibele,1,500.0,1.0,17.0
541,Attibele,4,2168.0,4.0,95.0
542,Attibele,1,395.0,1.0,10.25
543,Attibele,1,420.0,1.0,17.0
545,Attibele,1,418.0,1.0,12.0
546,Attibele,2,1200.0,2.0,42.0
547,Attibele,1,400.0,1.0,10.0
548,Attibele,2,695.0,1.0,25.0
549,Attibele,2,850.0,1.0,25.0
550,Attibele,3,2400.0,3.0,120.0
551,Attibele,1,450.0,1.0,12.5
555,Attibele,1,782.0,1.0,19.55
557,Attibele,2,656.0,2.0,25.0
558,Attibele,1,400.0,1.0,11.5
559,Attibele,1,460.0,1.0,13.0
560,Attibele,1,418.0,2.0,11.5
561,Attibele,2,1000.0,2.0,42.0
562,Attibele,1,550.0,1.0,11.5
564,Attibele,1,410.0,1.0,10.0
565,Attibele,3,1700.0,3.0,65.0
566,Attibele,1,400.0,1.0,10.25
567,Attibele,2,656.0,2.0,25.0
568,Attibele,3,1500.0,3.0,90.0
569,Attibele,1,520.0,1.0,15.0
570,BEML Layout,2,1060.0,2.0,55.0
572,BEML Layout,2,999.0,2.0,45.0
573,BEML Layout,5,2400.0,4.0,225.0
575,BEML Layout,2,1194.0,2.0,65.0
576,BEML Layout,2,1200.0,2.0,67.0
577,BEML Layout,2,2400.0,2.0,228.0
580,BEML Layout,2,1194.0,2.0,65.0
581,BTM 2nd Stage,3,1260.0,5.0,185.0
582,BTM 2nd Stage,2,950.0,2.0,52.0
583,BTM 2nd Stage,3,1850.0,3.0,170.0
584,BTM 2nd Stage,2,1200.0,2.0,80.0
585,BTM 2nd Stage,2,1274.0,2.0,70.0
587,BTM 2nd Stage,2,1070.0,2.0,48.0
588,BTM 2nd Stage,2,1280.0,2.0,80.0
589,BTM 2nd Stage,2,1100.0,2.0,70.0
590,BTM 2nd Stage,2,1000.0,2.0,58.0
591,BTM 2nd Stage,5,2990.0,5.0,416.0
592,BTM 2nd Stage,2,1265.0,2.0,55.0
593,BTM 2nd Stage,3,2200.0,3.0,220.0
594,BTM 2nd Stage,3,2780.0,4.0,325.0
595,BTM 2nd Stage,3,2400.0,2.0,360.0
596,BTM 2nd Stage,2,965.0,2.0,56.0
597,BTM 2nd Stage,2,1147.0,2.0,75.0
598,BTM 2nd Stage,3,1750.0,3.0,172.0
599,BTM 2nd Stage,2,1400.0,2.0,90.0
600,BTM 2nd Stage,2,1200.0,2.0,70.0
601,BTM 2nd Stage,2,1100.0,2.0,47.0
602,BTM 2nd Stage,2,930.0,2.0,46.0
604,BTM 2nd Stage,3,2500.0,3.0,345.0
605,BTM Layout,2,1150.0,2.0,63.0
606,BTM Layout,6,3300.0,6.0,165.0
607,BTM Layout,3,1450.0,2.0,81.0
608,BTM Layout,3,1776.0,2.0,75.0
609,BTM Layout,3,1458.0,3.0,79.0
610,BTM Layout,2,935.0,2.0,51.5
